config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,geometry_echo_max,geometry_x,geometry_y,geometry_z,edm_response,born_response,edge_gtd_response,edm_x,edm_y,edm_z,edm_vs_geometry_dB,geometry_echo_dB_norm,edm_response_dB_norm
1D32,A_PA1_to_C1,0,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,0.8884890273868613,-123.9542,120.4289,-53.1004,1.445637792745094,1.0513729401782501,0.39426485256684385,-124.23,120.25,-51.8,4.2281484908869205,0.0,0.0
1D32,A_PA1_to_C1,1,-125.5875311773166,139.02719128142945,-65.13280492576665,-123.25,121.26,-51.8,0.8799535293490097,-123.1576,121.5163,-52.4603,1.1455595779769818,1.0355540295602201,0.11000554841676169,-123.25,121.26,-51.8,2.291158865567062,-0.08384662469284748,-2.020836250012707
1D32,A_PA1_to_C1,2,-124.6997361978672,140.12576271513814,-65.53680832565904,-122.26,122.26,-51.8,0.8727660189875837,-121.8437,122.0907,-53.6759,1.0417538291112487,1.0197145178457818,0.022039311265466984,-122.26,122.26,-51.8,1.537345534446707,-0.15508480056950494,-2.845887757009718
1D32,A_PA1_to_C1,3,-123.80814054759924,141.2216765912607,-65.93965723338754,-121.26,123.25,-51.8,0.8590957630159934,-121.1366,123.2696,-53.1004,1.0119732386343345,1.003973040516538,0.008000198117796613,-121.26,123.25,-51.8,1.422549014269873,-0.29220983218469315,-3.09780930880174
1D32,A_PA1_to_C1,4,-122.9126787053178,142.31487245796063,-66.3413259657362,-120.25,124.23,-51.8,0.8481726356153784,-119.9472,123.9589,-53.6759,0.9968819681553177,0.9883289157465759,0.00855305240874187,-120.25,124.23,-51.8,1.4031896726153708,-0.403356238686156,-3.2283150569577055
1D32,A_PA1_to_C1,5,-122.01174866453802,143.40418686963125,-66.74131078089212,-119.24,125.21,-51.8,0.8479499997028557,-118.2119,122.177,-60.5823,0.9822054141090417,0.9732701592979316,0.008935254811110153,-119.24,125.21,-51.8,1.2766415871000838,-0.40563648769230765,-3.357143391479144
1D32,A_PA1_to_C1,6,-121.10663104890662,144.49049807357036,-67.13999408581748,-118.22,126.17,-51.8,0.7832041463999074,-118.4046,126.2044,-51.7933,0.9673958490044933,0.9580910362444515,0.009304812760041813,-118.22,126.17,-51.8,1.8345848304524617,-1.095541814542154,-3.489105474976613
1D32,A_PA1_to_C1,7,-120.19746436062516,145.57388656308214,-67.53741160967894,-117.19,127.13,-51.8,0.7584637270349894,-115.7758,125.0995,-56.2,0.9532650844127611,0.9433875135475518,0.009877570865209353,-117.19,127.13,-51.8,1.985577408867683,-1.3743450588043895,-3.6169161408236277
1D32,A_PA1_to_C1,8,-119.2841803722571,146.65428488520172,-67.93353475243892,-116.15,128.08,-51.8,0.7461012677747878,-116.3562,127.9218,-51.1388,0.9395453898677876,0.9288495331810993,0.010695856686688232,-116.15,128.08,-51.8,2.0023997593083944,-1.5170858161020206,-3.742834547680547
1D32,A_PA1_to_C1,9,-118.36592519347504,147.73104304627157,-68.32808255362077,-115.1,129.02,-51.8,0.7732183002590061,-138.2846,148.6786,-53.9487,0.9261236308934814,0.914518836974716,0.011604793918765378,-115.1,129.02,-51.8,1.567336831153142,-1.2069988908179017,-3.8678105505516807
1D32,A_PA1_to_C1,10,-117.44257785267718,148.80403214082943,-68.72100263076132,-114.05,129.95,-51.8,0.7546117850788978,-112.5253,127.2101,-56.5243,0.9128987231815293,0.9004914513822818,0.012407271799247497,-114.05,129.95,-51.8,1.6539803236883202,-1.4185697055375872,-3.992737872736187
1D32,A_PA1_to_C1,11,-116.514922269347,149.87380453703935,-69.1125338929097,-112.99,130.88,-51.8,0.6923011749481078,-136.2163,150.5796,-50.0596,0.9000067788241858,0.8869312513989525,0.013075527425233302,-112.99,130.88,-51.8,2.279014237280419,-2.167140001350671,-4.116274254957172
1D32,A_PA1_to_C1,12,-115.58288695538624,150.94028445626716,-69.50264433810658,-111.92,131.79,-51.8,0.7625916370364619,-133.8328,152.124,-53.3791,0.8869999418095705,0.8733324386320159,0.013667503177554644,-111.92,131.79,-51.8,1.31263106136868,-1.3272006095246935,-4.242718039042934
1D32,A_PA1_to_C1,13,-114.646399475931,152.00339379708413,-69.8913011714731,-110.84,132.7,-51.8,0.7626145249033004,-138.7337,153.8921,-66.2464,0.874511397803947,0.8601733767806538,0.014338021023293306,-110.84,132.7,-51.8,1.1892080297226946,-1.3269399215070534,-4.365880382671278
1D32,A_PA1_to_C1,14,-113.7043365345142,153.06224053959426,-70.27812111471913,-109.76,133.6,-51.8,0.7453688258378165,-138.669,154.0912,-70.7847,0.8624235895699341,0.847309365505982,0.015114224063952127,-109.76,133.6,-51.8,1.2669880432170568,-1.5256168759864877,-4.486777323656351
1D32,A_PA1_to_C1,15,-112.75724424129103,154.11719913348915,-70.66326812092449,-108.67,134.48,-51.8,0.7179098674539923,-135.17,157.2241,-57.4577,0.8504229370162897,0.8344725554178893,0.015950381598400367,-108.67,134.48,-51.8,1.47130085083307,-1.8516429225561009,-4.608490562609953
1D32,A_PA1_to_C1,16,-111.80550111618676,155.16853095706625,-71.04685566781224,-107.57,135.36,-51.8,0.735576910545235,-128.4964,156.6664,-53.3791,0.8387769901090381,0.8220773981593988,0.0166995919496392,-107.57,135.36,-51.8,1.1403683928856625,-1.6404796058453297,-4.728259703846589
1D32,A_PA1_to_C1,17,-110.849031768006,156.216148479111,-71.42884697464699,-106.46,136.24,-51.8,0.7180270085021572,-127.2375,157.3391,-51.2924,0.8273086891701834,0.8100992499338254,0.01720943923635796,-106.46,136.24,-51.8,1.2305361046529104,-1.8502257652482266,-4.847838151482237
1D32,A_PA1_to_C1,18,-109.88775968148192,157.25996132776058,-71.80920414042144,-105.35,137.1,-51.8,0.7152135426915636,-130.6846,160.9787,-57.4577,0.8156293412909899,0.7981838497007796,0.017445491590210218,-105.35,137.1,-51.8,1.1411422261137107,-1.884326788834493,-4.971333053607704
1D32,A_PA1_to_C1,19,-108.92107988638196,158.2994494986132,-72.1877053882543,-104.23,137.95,-51.8,0.7061752682299154,-129.129,162.1554,-57.3629,0.8039925628334376,0.7864965765920254,0.017495986241412093,-104.23,137.95,-51.8,1.126790556905482,-1.9947913035511915,-5.0961492375326305
1D32,A_PA1_to_C1,20,-107.9486474368608,159.33428339378025,-72.56421201203561,-103.1,138.79,-51.8,0.6906997560371259,-127.5995,163.3639,-57.3629,0.7925438291541531,0.775056443632053,0.017487385522100204,-103.1,138.79,-51.8,1.1946797248295606,-2.1872553227943654,-5.220724088851726
1D32,A_PA1_to_C1,21,-106.97120712934904,160.36502322437607,-72.93896483167389,-101.97,139.63,-51.8,0.6880463194897574,-121.7228,161.5657,-51.6309,0.781587982093497,0.7640635076712862,0.017524474422210824,-101.97,139.63,-51.8,1.1072039375175147,-2.220687853810322,-5.341632407179729
1D32,A_PA1_to_C1,22,-105.9886806011947,161.39156820008367,-73.3119223265337,-100.83,140.45,-51.8,0.669543751899397,-124.9317,165.4914,-57.4577,0.7707481748030732,0.7531090557467545,0.017639119056318743,-100.83,140.45,-51.8,1.2226708668060189,-2.457462142697265,-5.4629397667781685
1D32,A_PA1_to_C1,23,-105.00098799462336,162.4138139103925,-73.68304140133728,-99.68,141.27,-51.8,0.6595224988053503,-123.3355,166.6125,-57.3629,0.7603055633397955,0.7425321922982113,0.01777337104158416,-99.68,141.27,-51.8,1.2351710554949293,-2.588449063735463,-5.5814264991274545
