config,condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,beam_sum,beam_mean,beam_max,beam_db,beam_percent
1D32,A_PA1_to_C1,0,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.8,3.404236750426412,0.10638239845082538,0.9648563318988036,-18.727205218513344,11.578165124897891
1D32,A_PA1_to_C1,1,-125.5875311773166,139.02719128142945,-65.13280492576665,-123.25,121.26,-51.8,3.4314458466980464,0.10723268270931395,0.9642570254224013,-18.658057345660932,11.670706106218525
1D32,A_PA1_to_C1,2,-124.6997361978672,140.12576271513814,-65.53680832565904,-122.26,122.26,-51.8,3.4645702205738527,0.1082678193929329,0.9630936694200221,-18.57461297261253,11.783365565154481
1D32,A_PA1_to_C1,3,-123.80814054759924,141.2216765912607,-65.93965723338754,-121.26,123.25,-51.8,3.4989535069739164,0.10934229709293489,0.9619456623837732,-18.488836900087687,11.900306717213523
1D32,A_PA1_to_C1,4,-122.9126787053178,142.31487245796063,-66.3413259657362,-120.25,124.23,-51.8,3.5367353869802853,0.11052298084313392,0.9605779755071603,-18.39554897915923,12.028806841474276
1D32,A_PA1_to_C1,5,-122.01174866453802,143.40418686963125,-66.74131078089212,-119.24,125.21,-51.8,3.574952109104961,0.11171725340953004,0.9592517590721186,-18.302195769751464,12.158785909245168
1D32,A_PA1_to_C1,6,-121.10663104890662,144.49049807357036,-67.13999408581748,-118.22,126.17,-51.8,3.6117621466071763,0.11286756708147426,0.9583054677066637,-18.213217494577115,12.283980695536382
1D32,A_PA1_to_C1,7,-120.19746436062516,145.57388656308214,-67.53741160967894,-117.19,127.13,-51.8,3.64993345852894,0.11406042057902938,0.957308561584372,-18.12190139583516,12.413805318459216
1D32,A_PA1_to_C1,8,-119.2841803722571,146.65428488520172,-67.93353475243892,-116.15,128.08,-51.8,3.690569942101364,0.11533031069066763,0.9562190160102046,-18.02573152897665,12.552014247916837
1D32,A_PA1_to_C1,9,-118.36592519347504,147.73104304627157,-68.32808255362077,-115.1,129.02,-51.8,3.733784051043253,0.11668075159510166,0.9550344246418033,-17.924616409627067,12.698989950764721
1D32,A_PA1_to_C1,10,-117.44257785267718,148.80403214082943,-68.72100263076132,-114.05,129.95,-51.8,3.775420382819585,0.11798188696311203,0.9541466558897155,-17.828294011657174,12.840599468504937
1D32,A_PA1_to_C1,11,-116.514922269347,149.87380453703935,-69.1125338929097,-112.99,130.88,-51.8,3.8174442282356402,0.11929513213236376,0.9533128518291972,-17.73214631792077,12.983526960651107
1D32,A_PA1_to_C1,12,-115.58288695538624,150.94028445626716,-69.50264433810658,-111.92,131.79,-51.8,3.8601882829239083,0.12063088384137213,0.9526149145315809,-17.635430571986788,13.128903959834973
1D32,A_PA1_to_C1,13,-114.646399475931,152.00339379708413,-69.8913011714731,-110.84,132.7,-51.8,3.906736628746817,0.12208551964833803,0.951675416341635,-17.53131764697507,13.287219750932927
1D32,A_PA1_to_C1,14,-113.7043365345142,153.06224053959426,-70.27812111471913,-109.76,133.6,-51.8,3.9538160358689782,0.12355675112090557,0.950824090535476,-17.427271165330595,13.447341737035803
1D32,A_PA1_to_C1,15,-112.75724424129103,154.11719913348915,-70.66326812092449,-108.67,134.48,-51.8,3.9996454901815586,0.1249889215681737,0.9533721056106879,-17.327170350908112,13.60321250294201
1D32,A_PA1_to_C1,16,-111.80550111618676,155.16853095706625,-71.04685566781224,-107.57,135.36,-51.8,4.046603675370697,0.1264563648553343,0.9560586586413533,-17.225786902176058,13.762922200576078
1D32,A_PA1_to_C1,17,-110.849031768006,156.216148479111,-71.42884697464699,-106.46,136.24,-51.8,4.095654910155284,0.12798921594235263,0.9587836397541158,-17.121133196649563,13.929750578727198
1D32,A_PA1_to_C1,18,-109.88775968148192,157.25996132776058,-71.80920414042144,-105.35,137.1,-51.8,4.144979293166999,0.12953060291146873,0.961255310254623,-17.017153028824218,14.097507962558337
1D32,A_PA1_to_C1,19,-108.92107988638196,158.2994494986132,-72.1877053882543,-104.23,137.95,-51.8,4.19761776056462,0.13117555501764439,0.9638271702680267,-16.90754256026168,14.27653689389658
1D32,A_PA1_to_C1,20,-107.9486474368608,159.33428339378025,-72.56421201203561,-103.1,138.79,-51.8,4.2506481549055195,0.13283275484079748,0.9662005842494726,-16.79849717576718,14.456898809747607
1D32,A_PA1_to_C1,21,-106.97120712934904,160.36502322437607,-72.93896483167389,-101.97,139.63,-51.8,4.302377384383792,0.1344492932619935,0.9682943785295963,-16.693430295079146,14.632835327854977
1D32,A_PA1_to_C1,22,-105.9886806011947,161.39156820008367,-73.3119223265337,-100.83,140.45,-51.8,4.355076129332777,0.13609612904164928,0.970241727839426,-16.58768531232144,14.812069269447845
1D32,A_PA1_to_C1,23,-105.00098799462336,162.4138139103925,-73.68304140133728,-99.68,141.27,-51.8,4.410297450664027,0.13782179533325084,0.9722351976810676,-16.478242709761897,14.999882757069754
1D32,A_PA1_to_C1,24,-104.0080483892786,163.43165260561457,-74.05227738223644,-98.53,142.08,-51.8,4.4663100110526965,0.13957218784539677,0.974108824434122,-16.36862304312722,15.19038733145551
1D32,A_PA1_to_C1,25,-103.00947648346532,164.44471236433247,-74.41947317795704,-97.37,142.87,-51.8,4.525745552548009,0.14142954851712528,0.9760006411727448,-16.25379766893985,15.392533822481507
1D32,A_PA1_to_C1,26,-102.00468577891398,165.4524307713405,-74.78439012090907,-96.21,143.66,-51.8,4.585154874524619,0.14328608982889435,0.9777516615393068,-16.140520143380368,15.594591138182967
1D32,A_PA1_to_C1,27,-100.994437870225,166.45540656397864,-75.14728615286857,-95.03,144.44,-51.8,4.646358020808235,0.14519868815025735,0.979430046997255,-16.025346916820748,15.802749437909396
1D32,A_PA1_to_C1,28,-99.97865204218024,167.45352101051787,-75.50811248064947,-93.86,145.21,-51.8,4.705709923650286,0.14705343511407143,0.9808682893698565,-15.915097290250717,16.004611465130647
1D32,A_PA1_to_C1,29,-98.95724657977786,168.4466515454952,-75.86681827461119,-92.67,145.97,-51.8,4.769454931424725,0.14904546660702267,0.9823779984459386,-15.798225348811961,16.221414901556717
1D32,A_PA1_to_C1,30,-97.93013914227564,169.4346716568485,-76.22335155664793,-91.48,146.72,-51.8,4.833558412538823,0.1510487003918382,0.9837644384634304,-15.68226090869717,16.439437543291852
1D32,A_PA1_to_C1,31,-96.89724697053715,170.41745089425962,-76.57765923268899,-90.28,147.46,-51.8,4.9002550419860285,0.1531329700620634,0.9851238480771164,-15.563226651044577,16.666279753639632
1D32,A_PA1_to_C1,32,-95.85848647488528,171.3948547881875,-76.9296856030413,-89.08,148.19,-51.8,4.969347272861811,0.1552921022769316,0.9864450724900635,-15.441613382974884,16.901269654922842
1D32,A_PA1_to_C1,33,-94.81326018775638,172.36626166812076,-77.2791700240405,-87.87,148.91,-51.8,5.042494914505668,0.15757796607830213,0.987773803054068,-15.314690957319916,17.15005243224976
1D32,A_PA1_to_C1,34,-93.76170417127643,173.33171905220786,-77.62613400929244,-86.65,149.62,-51.8,5.116755569513106,0.15989861154728457,0.9889971353100822,-15.187706915874982,17.402620684399523
